sample_id,cells,median_genes,mean_genes,median_counts,mean_counts,median_mt,mean_mt,min_genes,max_genes,min_mt,max_mt
591146,12725,1392,1986.350491,3666,7765.789705,5.050177,6.202620,202,8223,0,91.232795
614658,9598,2084,2025.226089,5904,6124.110440,3.320540,4.330019,203,8899,0,68.148820
