"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.1755119447214e-21,1961,958,189,0.197286012526096,0.0963793982661907,"GO:0008283","GO:BP","cell population proliferation",20972,3010,"GO:0009987"
"query_1",TRUE,1.1755119447214e-21,6063,958,420,0.438413361169102,0.0692726373082632,"GO:0007165","GO:BP","signal transduction",20972,2595,"GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716"
"query_1",TRUE,3.34500625401091e-21,2199,958,203,0.211899791231733,0.0923146884947704,"GO:0070887","GO:BP","cellular response to chemical stimulus",20972,15231,"GO:0042221;GO:0051716"
"query_1",TRUE,2.85563238392482e-20,758,958,101,0.105427974947808,0.133245382585752,"GO:0001944","GO:BP","vasculature development",20972,542,"GO:0048731;GO:0072359"
"query_1",TRUE,3.90395589328471e-20,1866,958,179,0.186847599164927,0.0959271168274384,"GO:0141124","GO:BP","intracellular signaling cassette",20972,18783,"GO:0035556"
"query_1",TRUE,5.18223602463624e-20,727,958,98,0.102296450939457,0.134800550206327,"GO:0001568","GO:BP","blood vessel development",20972,341,"GO:0001944;GO:0048856"
"query_1",TRUE,5.56645172065339e-20,829,958,106,0.110647181628392,0.127864897466827,"GO:0034330","GO:BP","cell junction organization",20972,7999,"GO:0016043"
"query_1",TRUE,8.16113274774173e-20,3993,958,304,0.317327766179541,0.0761332331580265,"GO:0048583","GO:BP","regulation of response to stimulus",20972,12005,"GO:0050789;GO:0050896"
"query_1",TRUE,1.7508547335382e-19,816,958,104,0.108559498956159,0.127450980392157,"GO:0030029","GO:BP","actin filament-based process",20972,6218,"GO:0009987"
"query_1",TRUE,2.3223780676794e-19,632,958,89,0.092901878914405,0.140822784810127,"GO:0048514","GO:BP","blood vessel morphogenesis",20972,11950,"GO:0001568;GO:0035239"
"query_1",TRUE,5.76927418109058e-19,3863,958,294,0.306889352818372,0.0761066528604711,"GO:0042221","GO:BP","response to chemical",20972,9400,"GO:0050896"
"query_1",TRUE,4.85651584184279e-18,2963,958,240,0.250521920668058,0.0809989875126561,"GO:0035556","GO:BP","intracellular signal transduction",20972,8505,"GO:0007165"
"query_1",TRUE,6.18401926202615e-18,1958,958,179,0.186847599164927,0.0914198161389173,"GO:0012501","GO:BP","programmed cell death",20972,4356,"GO:0008219"
"query_1",TRUE,7.04202854684994e-18,1467,958,147,0.153444676409186,0.100204498977505,"GO:0009719","GO:BP","response to endogenous stimulus",20972,3457,"GO:0050896"
"query_1",TRUE,7.12559983646042e-18,716,958,93,0.0970772442588727,0.129888268156425,"GO:0030036","GO:BP","actin cytoskeleton organization",20972,6225,"GO:0007010;GO:0030029"
"query_1",TRUE,7.24237738350278e-18,1962,958,179,0.186847599164927,0.0912334352701325,"GO:0008219","GO:BP","cell death",20972,3006,"GO:0009987"
"query_1",TRUE,1.89281974395231e-17,5753,958,389,0.406054279749478,0.0676168955327655,"GO:0048519","GO:BP","negative regulation of biological process",20972,11953,"GO:0008150;GO:0050789"
"query_1",TRUE,2.7480198815145e-17,822,958,100,0.104384133611691,0.121654501216545,"GO:0022603","GO:BP","regulation of anatomical structure morphogenesis",20972,6176,"GO:0009653;GO:0050793"
"query_1",TRUE,2.91209712524669e-17,11962,958,678,0.707724425887265,0.0566794850359472,"GO:0050794","GO:BP","regulation of cellular process",20972,12401,"GO:0009987;GO:0050789"
"query_1",TRUE,2.92154390130992e-17,570,958,80,0.0835073068893528,0.140350877192982,"GO:0009611","GO:BP","response to wounding",20972,3382,"GO:0006950"
"query_1",TRUE,3.50981088401676e-17,1632,958,156,0.162839248434238,0.0955882352941176,"GO:1901700","GO:BP","response to oxygen-containing compound",20972,20237,"GO:0042221"
"query_1",TRUE,7.90169085747609e-17,2842,958,229,0.239039665970772,0.0805770584095707,"GO:0048468","GO:BP","cell development",20972,11920,"GO:0030154;GO:0048856;GO:0048869"
"query_1",TRUE,8.1107796410578e-17,1898,958,172,0.179540709812109,0.0906217070600632,"GO:0006915","GO:BP","apoptotic process",20972,2433,"GO:0012501"
"query_1",TRUE,9.72760144922883e-17,988,958,111,0.115866388308977,0.112348178137652,"GO:0007167","GO:BP","enzyme-linked receptor protein signaling pathway",20972,2597,"GO:0007166"
