"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,0.54325888234418,0.745,0.229,0,"MKNK2"
5.6540549501734e-279,0.541681063028781,0.553,0.166,1.29093382622359e-274,"TMBIM1"
8.06841076805849e-239,0.541524959779036,0.815,0.315,1.84217954656312e-234,"NHP2"
2.20253371738978e-157,0.541174442538335,0.945,0.669,5.02882498354435e-153,"ENO1"
8.60542769632438e-262,0.540376110028994,0.453,0.127,1.96479125162478e-257,"RRAS"
8.69037261818106e-317,0.539974322568307,0.736,0.233,1.9841858761831e-312,"TIMM8B"
3.51437011355796e-313,0.539813832405987,0.607,0.177,8.02400984327553e-309,"CBR1"
1.10043881938031e-294,0.539470639128984,0.707,0.228,2.51252191240912e-290,"ECHS1"
0,0.539320771653663,0.385,0.08,0,"STRN3"
3.8833559763122e-321,0.538535954422819,0.345,0.07,8.86647836511601e-317,"STX6"
0,0.535547170864728,0.615,0.168,0,"ACBD3"
3.03186078212959e-182,0.535255141312026,0.905,0.46,6.92234453775828e-178,"NDFIP1"
1.33397749478146e-282,0.53509629296294,0.296,0.059,3.04573741608503e-278,"TEX261"
0,0.53455166124155,0.534,0.135,0,"AIDA"
0,0.53441798910671,0.428,0.091,0,"IVD"
8.93415597965944e-191,0.533669034775573,0.855,0.376,2.03984649327584e-186,"VDAC1"
0,0.533355353846374,0.688,0.199,0,"ETF1"
0,0.532539236143898,0.447,0.099,0,"CYB5R1"
6.06353446545336e-309,0.532149969845734,0.265,0.045,1.38442618915231e-304,"AC023157.3"
3.29547750205347e-282,0.531340984141143,0.414,0.105,7.52423423268849e-278,"PAFAH1B3"
0,0.530302004384063,0.436,0.09,0,"MEPCE"
0,0.529770224290682,0.493,0.125,0,"NIPSNAP2"
0,0.529382974123764,0.639,0.161,0,"MGMT"
8.05263272156348e-284,0.528890836670739,0.376,0.089,1.83857710298737e-279,"DERA"
6.91943695544776e-300,0.526032520548219,0.263,0.045,1.57984584566783e-295,"RBM27"
1.53676295321184e-239,0.520969377182536,0.26,0.054,3.50873717477328e-235,"AP1B1"
5.77978312128906e-237,0.520765065656498,0.25,0.051,1.31964008225272e-232,"ACAD8"
1.88118000408953e-261,0.520672923844925,0.305,0.067,4.29511018533721e-257,"TMEM127"
0,0.519959258183309,0.436,0.104,0,"DUSP10"
0,0.515160410624601,0.547,0.13,0,"NR1D2"
6.49782496223244e-291,0.514311388497265,0.283,0.053,1.48358339537691e-286,"SPRYD7"
1.71212084989151e-244,0.513320347416636,0.867,0.366,3.90911432447229e-240,"CD46"
1.08905248030516e-246,0.513052364025779,0.714,0.258,2.48652462303274e-242,"EPB41L4A-AS1"
0,0.512112691389691,0.455,0.099,0,"PREPL"
0,0.510399190075508,0.492,0.108,0,"ASAP1"
0,0.50728362858884,0.412,0.094,0,"SMIM20"
5.1540326693298e-262,0.507281239450311,0.29,0.062,1.17676873906138e-257,"ATF5"
0,0.506813404915032,0.597,0.161,0,"CHCHD5"
